"mint_key","pair_key","name","security","age","market_cap","highest_mc","liquidity","volume_1h","holders","snipers","snipers_pct","first20_pct","fish","fish_pct","dev_sol","bundled_pct","sold_pct","price_change_1h","buy_pressure","token_age","signal_time","winner","winner_time","max_return","max_return_time","source","trading_score"
"9Y3vat8YjC2r2tAkmVDVAa4moBwDe4dzKUGt1tfipump","HdzzrKBV61mJs3FhpCGurbQ2XiCCFSHdGSkrYJe7NVix","XWRAPPED","⚠️","0","45471.26775957876","58968","20860","92275","280","13","23.8335390149418","24.169991317149396","0","0","0","3.4612903225806","3.4612903225806","-21.05155171452","1","0.5","2025-12-10T16:58:05.189Z","false","N/A","0","N/A","primal","[{""id"":8873,""mint_key"":""9Y3vat8YjC2r2tAkmVDVAa4moBwDe4dzKUGt1tfipump"",""predicted_gain"":1.4799903447683393,""predicted_gain_pct"":147.99903447683394,""confidence"":0.8,""risk_adjusted_score"":1.1839922758146715,""go_decision"":true,""recommended_tp_levels"":[{""gain_pct"":30,""sell_amount_pct"":20},{""gain_pct"":70,""sell_amount_pct"":25},{""gain_pct"":150,""sell_amount_pct"":35},{""gain_pct"":300,""sell_amount_pct"":100}],""recommended_sl"":-45,""position_size_factor"":0.08794959202265981,""notes"":""High gain potential | High confidence | Low risk"",""timestamp"":""2025-12-10T16:58:05.783Z"",""pairId"":50789,""model_response"":{""notes"":""High gain potential | High confidence | Low risk"",""symbol"":""XWRAPPED"",""mint_key"":""9Y3vat8YjC2r2tAkmVDVAa4moBwDe4dzKUGt1tfipump"",""pair_key"":""HdzzrKBV61mJs3FhpCGurbQ2XiCCFSHdGSkrYJe7NVix"",""timestamp"":""2025-12-10T16:58:05.783248"",""confidence"":0.8,""go_decision"":true,""signal_source"":""primal"",""predicted_gain"":1.4799903447683393,""recommended_sl"":-45,""predicted_gain_pct"":147.99903447683394,""risk_adjusted_score"":1.1839922758146715,""position_size_factor"":0.08794959202265981,""recommended_tp_levels"":[{""gain_pct"":30,""sell_amount_pct"":20},{""gain_pct"":70,""sell_amount_pct"":25},{""gain_pct"":150,""sell_amount_pct"":35},{""gain_pct"":300,""sell_amount_pct"":100}]},""createdAt"":""2025-12-10T16:58:05.824Z"",""updatedAt"":""2025-12-10T16:58:05.824Z""}]"
"9Y3vat8YjC2r2tAkmVDVAa4moBwDe4dzKUGt1tfipump","HdzzrKBV61mJs3FhpCGurbQ2XiCCFSHdGSkrYJe7NVix","XWRAPPED","warning","0","45281.38011300052","0","20817","18160","280","0","0","15.008200000000002","0","0","0","100","0","-19.323089732655","1","0.16666666666666666","2025-12-10T16:57:48.823Z","false","N/A","0","N/A","solana_tracker","[{""id"":8872,""mint_key"":""9Y3vat8YjC2r2tAkmVDVAa4moBwDe4dzKUGt1tfipump"",""predicted_gain"":1.2354104181604246,""predicted_gain_pct"":123.54104181604247,""confidence"":0.8,""risk_adjusted_score"":0.9883283345283398,""go_decision"":false,""recommended_tp_levels"":[{""gain_pct"":30,""sell_amount_pct"":20},{""gain_pct"":70,""sell_amount_pct"":25},{""gain_pct"":150,""sell_amount_pct"":35},{""gain_pct"":300,""sell_amount_pct"":100}],""recommended_sl"":-45,""position_size_factor"":0.08333333333333334,""notes"":""🚨 Very High Bundled 100.0% | High gain potential | High confidence"",""timestamp"":""2025-12-10T16:58:01.079Z"",""pairId"":50788,""model_response"":{""notes"":""🚨 Very High Bundled 100.0% | High gain potential | High confidence"",""symbol"":""XWRAPPED"",""mint_key"":""9Y3vat8YjC2r2tAkmVDVAa4moBwDe4dzKUGt1tfipump"",""pair_key"":""HdzzrKBV61mJs3FhpCGurbQ2XiCCFSHdGSkrYJe7NVix"",""timestamp"":""2025-12-10T16:58:01.079755"",""confidence"":0.8,""go_decision"":false,""signal_source"":""solana_tracker"",""predicted_gain"":1.2354104181604246,""recommended_sl"":-45,""predicted_gain_pct"":123.54104181604247,""risk_adjusted_score"":0.9883283345283398,""position_size_factor"":0.08333333333333334,""recommended_tp_levels"":[{""gain_pct"":30,""sell_amount_pct"":20},{""gain_pct"":70,""sell_amount_pct"":25},{""gain_pct"":150,""sell_amount_pct"":35},{""gain_pct"":300,""sell_amount_pct"":100}]},""createdAt"":""2025-12-10T16:58:01.118Z"",""updatedAt"":""2025-12-10T16:58:01.118Z""}]"
"6HJhy51xdmUzid63L3PDSRmVe3EXiHJCKJy7c6Mpump","GqYaN5ZfRTs4vEERF9K7BqqneRcAc7tbMz84b7m9VDpY","USDWC","🚨","0","64703.63319602185","64703","24900","58635","214","6","27.216259588485904","32.063789549189","0","0","0","2.1039219431372","2.1039219431372","14.372542025582","2.75","0.5","2025-12-10T16:55:45.102Z","false","N/A","0","N/A","primal","[{""id"":8871,""mint_key"":""6HJhy51xdmUzid63L3PDSRmVe3EXiHJCKJy7c6Mpump"",""predicted_gain"":2.7455366254951867,""predicted_gain_pct"":274.55366254951866,""confidence"":0.8,""risk_adjusted_score"":2.1964293003961495,""go_decision"":true,""recommended_tp_levels"":[{""gain_pct"":50,""sell_amount_pct"":15},{""gain_pct"":100,""sell_amount_pct"":25},{""gain_pct"":200,""sell_amount_pct"":35},{""gain_pct"":500,""sell_amount_pct"":100}],""recommended_sl"":-50,""position_size_factor"":0.08790505976834932,""notes"":""High gain potential | Low risk"",""timestamp"":""2025-12-10T16:55:45.600Z"",""pairId"":50787,""model_response"":{""notes"":""High gain potential | Low risk"",""symbol"":""USDWC"",""mint_key"":""6HJhy51xdmUzid63L3PDSRmVe3EXiHJCKJy7c6Mpump"",""pair_key"":""GqYaN5ZfRTs4vEERF9K7BqqneRcAc7tbMz84b7m9VDpY"",""timestamp"":""2025-12-10T16:55:45.600279"",""confidence"":0.8,""go_decision"":true,""signal_source"":""primal"",""predicted_gain"":2.7455366254951867,""recommended_sl"":-50,""predicted_gain_pct"":274.55366254951866,""risk_adjusted_score"":2.1964293003961495,""position_size_factor"":0.08790505976834932,""recommended_tp_levels"":[{""gain_pct"":50,""sell_amount_pct"":15},{""gain_pct"":100,""sell_amount_pct"":25},{""gain_pct"":200,""sell_amount_pct"":35},{""gain_pct"":500,""sell_amount_pct"":100}]},""createdAt"":""2025-12-10T16:55:45.620Z"",""updatedAt"":""2025-12-10T16:55:45.620Z""}]"
"6HJhy51xdmUzid63L3PDSRmVe3EXiHJCKJy7c6Mpump","GqYaN5ZfRTs4vEERF9K7BqqneRcAc7tbMz84b7m9VDpY","USDWC","warning","0","64703.63319602185","0","24900","1352","214","0","0","16.5439","0","0","0","79.3103448275862","0","9.3536293822472","3.3333333333333335","0.16666666666666666","2025-12-10T16:55:30.586Z","false","N/A","0","N/A","solana_tracker","[{""id"":8870,""mint_key"":""6HJhy51xdmUzid63L3PDSRmVe3EXiHJCKJy7c6Mpump"",""predicted_gain"":1.4757888687523837,""predicted_gain_pct"":147.57888687523837,""confidence"":0.8,""risk_adjusted_score"":1.180631095001907,""go_decision"":false,""recommended_tp_levels"":[{""gain_pct"":30,""sell_amount_pct"":20},{""gain_pct"":70,""sell_amount_pct"":25},{""gain_pct"":150,""sell_amount_pct"":35},{""gain_pct"":300,""sell_amount_pct"":100}],""recommended_sl"":-45,""position_size_factor"":0.08471264367816092,""notes"":""🚨 Very High Bundled 79.3% | ⚠️ low_vol:$1352 | High gain potential | High confidence | Low risk"",""timestamp"":""2025-12-10T16:55:44.113Z"",""pairId"":50786,""model_response"":{""notes"":""🚨 Very High Bundled 79.3% | ⚠️ low_vol:$1352 | High gain potential | High confidence | Low risk"",""symbol"":""USDWC"",""mint_key"":""6HJhy51xdmUzid63L3PDSRmVe3EXiHJCKJy7c6Mpump"",""pair_key"":""GqYaN5ZfRTs4vEERF9K7BqqneRcAc7tbMz84b7m9VDpY"",""timestamp"":""2025-12-10T16:55:44.113739"",""confidence"":0.8,""go_decision"":false,""signal_source"":""solana_tracker"",""predicted_gain"":1.4757888687523837,""recommended_sl"":-45,""predicted_gain_pct"":147.57888687523837,""risk_adjusted_score"":1.180631095001907,""position_size_factor"":0.08471264367816092,""recommended_tp_levels"":[{""gain_pct"":30,""sell_amount_pct"":20},{""gain_pct"":70,""sell_amount_pct"":25},{""gain_pct"":150,""sell_amount_pct"":35},{""gain_pct"":300,""sell_amount_pct"":100}]},""createdAt"":""2025-12-10T16:55:44.135Z"",""updatedAt"":""2025-12-10T16:55:44.135Z""}]"
"3Nko6FeT7xiwVTR89qHrNiCm2Kx2qkgXpdugkSUvQjkP","5mPG5fTRSMNy54WfdB3GTaeUDrPD39CMxTtwoD2TTn5Z","TEST 1","🚨","0","708.8647444660805","4683","293","148","3","2","0.8334593979218001","97.72369145694539","0","0","0","0.6954498249688","0.6954498249688","86.93420087878","100","0.5","2025-12-10T16:47:56.671Z","false","N/A","0","N/A","primal","[{""id"":8869,""mint_key"":""3Nko6FeT7xiwVTR89qHrNiCm2Kx2qkgXpdugkSUvQjkP"",""predicted_gain"":0.19242339926513502,""predicted_gain_pct"":19.242339926513502,""confidence"":0.8,""risk_adjusted_score"":0.15393871941210802,""go_decision"":false,""recommended_tp_levels"":[{""gain_pct"":10,""sell_amount_pct"":30},{""gain_pct"":30,""sell_amount_pct"":35},{""gain_pct"":50,""sell_amount_pct"":35},{""gain_pct"":100,""sell_amount_pct"":100}],""recommended_sl"":-35,""position_size_factor"":0.08985170939680938,""notes"":""🚨 MC Too Small $709 | Liquidity Too Low $293 | Too Few Holders 3 | ⚠️ low_vol:$149 | Low gain potential | High confidence | Low risk | Risk-adj score too low (0.15)"",""timestamp"":""2025-12-10T16:47:57.449Z"",""pairId"":50785,""model_response"":{""notes"":""🚨 MC Too Small $709 | Liquidity Too Low $293 | Too Few Holders 3 | ⚠️ low_vol:$149 | Low gain potential | High confidence | Low risk | Risk-adj score too low (0.15)"",""symbol"":""TEST 1"",""mint_key"":""3Nko6FeT7xiwVTR89qHrNiCm2Kx2qkgXpdugkSUvQjkP"",""pair_key"":""5mPG5fTRSMNy54WfdB3GTaeUDrPD39CMxTtwoD2TTn5Z"",""timestamp"":""2025-12-10T16:47:57.449313"",""confidence"":0.8,""go_decision"":false,""signal_source"":""primal"",""predicted_gain"":0.19242339926513502,""recommended_sl"":-35,""predicted_gain_pct"":19.242339926513502,""risk_adjusted_score"":0.15393871941210802,""position_size_factor"":0.08985170939680938,""recommended_tp_levels"":[{""gain_pct"":10,""sell_amount_pct"":30},{""gain_pct"":30,""sell_amount_pct"":35},{""gain_pct"":50,""sell_amount_pct"":35},{""gain_pct"":100,""sell_amount_pct"":100}]},""createdAt"":""2025-12-10T16:47:57.474Z"",""updatedAt"":""2025-12-10T16:47:57.474Z""}]"
"EcQmBHdPEfj4j8ar4Yhz19f2NP8KeFYy6HdZR3MbEzko","Ft4bx1vyZkwLnMi8emyv7P2hj4LoKUrUb5raQyq1JRHg","Cheeseburger","🚨","60","98952","163000","31400","323000","440","39","60","42","9","17","0","0","0","13.887309432494","0.7148412184057031","60","2025-12-10T16:32:23.000Z","false","N/A","2.3","2025-12-10T16:55:01.000Z","whale","[{""id"":8868,""mint_key"":""EcQmBHdPEfj4j8ar4Yhz19f2NP8KeFYy6HdZR3MbEzko"",""predicted_gain"":1.2470516956615205,""predicted_gain_pct"":124.70516956615205,""confidence"":0.8,""risk_adjusted_score"":0.9976413565292165,""go_decision"":false,""recommended_tp_levels"":[{""gain_pct"":30,""sell_amount_pct"":20},{""gain_pct"":70,""sell_amount_pct"":25},{""gain_pct"":150,""sell_amount_pct"":35},{""gain_pct"":300,""sell_amount_pct"":100}],""recommended_sl"":-45,""position_size_factor"":0.084,""notes"":""🚨 Very High Snipers 60.0% | High gain potential | High confidence"",""timestamp"":""2025-12-10T16:32:25.996Z"",""pairId"":50784,""model_response"":{""notes"":""🚨 Very High Snipers 60.0% | High gain potential | High confidence"",""symbol"":""Cheeseburger"",""mint_key"":""EcQmBHdPEfj4j8ar4Yhz19f2NP8KeFYy6HdZR3MbEzko"",""pair_key"":""Ft4bx1vyZkwLnMi8emyv7P2hj4LoKUrUb5raQyq1JRHg"",""timestamp"":""2025-12-10T16:32:25.996006"",""confidence"":0.8,""go_decision"":false,""signal_source"":""whale"",""predicted_gain"":1.2470516956615205,""recommended_sl"":-45,""predicted_gain_pct"":124.70516956615205,""risk_adjusted_score"":0.9976413565292165,""position_size_factor"":0.084,""recommended_tp_levels"":[{""gain_pct"":30,""sell_amount_pct"":20},{""gain_pct"":70,""sell_amount_pct"":25},{""gain_pct"":150,""sell_amount_pct"":35},{""gain_pct"":300,""sell_amount_pct"":100}]},""createdAt"":""2025-12-10T16:32:26.023Z"",""updatedAt"":""2025-12-10T16:32:26.023Z""}]"
"5dqhLRr7LPrba2d8iCwdxatKmD53e7n9XeTP8dtypump","nEFirBAMd2cj9RomGvZvdba8as79Cr6XprnA4ZkQpru","Cloyster","🚨","10","35329","66000","18500","25000","136","0","0","8","1","0","0","60.9","63.7","-40.295238751397","0.8735632183908046","10","2025-12-10T16:29:09.000Z","false","N/A","1.54","2025-12-10T16:37:01.000Z","tg_early_trending","[{""id"":8867,""mint_key"":""5dqhLRr7LPrba2d8iCwdxatKmD53e7n9XeTP8dtypump"",""predicted_gain"":4.3349896459821435,""predicted_gain_pct"":433.49896459821434,""confidence"":0.8,""risk_adjusted_score"":3.467991716785715,""go_decision"":false,""recommended_tp_levels"":[{""gain_pct"":50,""sell_amount_pct"":15},{""gain_pct"":100,""sell_amount_pct"":25},{""gain_pct"":200,""sell_amount_pct"":35},{""gain_pct"":500,""sell_amount_pct"":100}],""recommended_sl"":-68,""position_size_factor"":0.07754000000000001,""notes"":""🚨 Very High Bundled 60.9% | Very High Sold 63.7% | High gain potential | High risk"",""timestamp"":""2025-12-10T16:29:13.997Z"",""pairId"":50783,""model_response"":{""notes"":""🚨 Very High Bundled 60.9% | Very High Sold 63.7% | High gain potential | High risk"",""symbol"":""Cloyster"",""mint_key"":""5dqhLRr7LPrba2d8iCwdxatKmD53e7n9XeTP8dtypump"",""pair_key"":""nEFirBAMd2cj9RomGvZvdba8as79Cr6XprnA4ZkQpru"",""timestamp"":""2025-12-10T16:29:13.997964"",""confidence"":0.8,""go_decision"":false,""signal_source"":""tg_early_trending"",""predicted_gain"":4.3349896459821435,""recommended_sl"":-68,""predicted_gain_pct"":433.49896459821434,""risk_adjusted_score"":3.467991716785715,""position_size_factor"":0.07754000000000001,""recommended_tp_levels"":[{""gain_pct"":50,""sell_amount_pct"":15},{""gain_pct"":100,""sell_amount_pct"":25},{""gain_pct"":200,""sell_amount_pct"":35},{""gain_pct"":500,""sell_amount_pct"":100}]},""createdAt"":""2025-12-10T16:29:14.024Z"",""updatedAt"":""2025-12-10T16:29:14.024Z""}]"
